20201101,1,VG Lembah Grime,Tanah Papua,14697,71596750,Naga Swarasakti
20201101,2,Wirabest,Bersama Wirabest,7918,41900960,Naga Swarasakti
20201101,3,Gretha Sihombing (2),Kumau Iring Tuhan,7592,33900320,Naga Swarasakti
20201101,4,Dian Piesesha,Satukanlah Hati Kami,6948,28450170,Suara Mega Mandiri
20201101,5,Gretha Sihombing,Dengar Tuhan,4885,22840110,Naga Swarasakti
20201101,6,John Hartman,Sweet Annointing,4273,22053680,Raba Komunikatama
20201101,7,KreasikuArtist(30),Ijah Panggilin Tuan Muda Di Kamar,5118,21452530,Cherrypicks
20201101,8,Tagor Pangaribuan,Jangan Salah Menilai (intro1),4819,19750810,Global Musik Era Digital
20201101,9,h muammar za,s  al ikhlas,3154,12869950,Virgo Multi Cipta
20201101,10,Abdul Rasyid Baharuddin,Di Laut Cari Duit,3343,12509680,MyNSP
20201101,11,Tagor Pangaribuan,Jangan Salah Menilai (intro2),2366,9653440,Global Musik Era Digital
20201101,12,ONeMobile OCBC NISP,,1908,9540000,ONeMobile OCBC NISP
20201101,13,Tiara Andini,Gemintang Hatiku ,4782,7735210,Universal Music
20201101,14,Uje,Pergi Haji (V1),1421,6826700,Falcon Interactive
20201101,15,Smart Bend,Astaghfirullah,1496,6366240,Virgo Multi Cipta
20201101,16,UST.YUSUF MANSYUR,Mohon Pertolongan ALLAH (mKios),1380,6122360,Virgo Multi Cipta
20201101,17,Titiek(9) Sandhora,Termenung,1493,6067710,Gemilang Sakti Digital
20201101,18,Gretha Sihombing,Dialah Juru Selamat,1215,5735620,Naga Swarasakti
20201101,19,The Virgin (20),Cinta Terlarang,1084,5069660,Naga Swarasakti
20201101,20,Aa Gym,Ketenangan Hati ,1027,4866000,Madinatussalam
20201101,21,Meggy Z (9),Sakit Hati,1091,4736620,Seven Stars Entertainment
20201101,22,Louis(18),Sukses Ditanganmu Sendiri,1100,4502930,Plus Digital
20201101,23,Mahen,Pura Pura Lupa (US20),1132,4491180,Indo Semar Sakti
20201101,24,Devano Danendra,Menyimpan Rasa (DT20),1022,4315720,HP RECORDS
20201101,25,Rizky Billar,Melihatmu Bahagia,1213,4197220,AFE RECORD
20201101,26,Syakir Daulay ft. Adiba Uje,Bidadari Surga  (TM),4053,4149090,Falcon Interactive
20201101,27,KH. MOH. NIZAM AS-SHOFA,Syi'ir Kang Aran Sholeh,914,4134690,Benang Komunika Infotama
20201101,28,KreasikuArtist,Tunggu Lagi,1118,3982050,Cherrypicks
20201101,29,Mecky,Ketika ,1461,3932690,DSI
20201101,30,The Dance Company (17),Papa Rock N Roll,698,3894970,Naga Swarasakti
20201101,31,Franky Sihombing (6),We Wish You A Merry Christmas,795,3814110,Raba Komunikatama
20201101,32,Wali (30),Baik Baik Sayang Rff,762,3793230,Naga Swarasakti
20201101,33,Thomas Arya,SATU HATI SAMPAI MATI,1129,3737050,Pitados
20201101,34,Tagor Pangaribuan,Jangan Salah Menilai (intro1) (P),960,3725940,Global Musik Era Digital
20201101,35,H. Muamar ZA,Sholawat Badar,878,3657200,Virgo Multi Cipta
20201101,36,Arie Kaget,Ayam (F),1445,3635550,NUSA KONTEN
20201101,37,Sembilan (11),Hafizah [Rff],723,3630590,Naga Swarasakti
20201101,38,Iwan Fals Ft Once Mekel dan Fiersa Besari,Ibu Pertiwi OPT,1775,3486520,Falcon Interactive
20201101,39,Rany Simbolon,Jangan Salah Menilai ( Intro ),843,3459250,Pelita Utm
20201101,40,Iqbaal Ramadhan,Kita Pernah Ada  (TM),1596,3445400,Falcon Interactive
20201101,41,KreasikuArtist (3444),Bila Mau Masuk Syurga,887,3440480,Cherrypicks
20201101,42,Ustadz Jefri Al-Bukhori 12,Syukur,769,3421870,Raba Komunikatama
20201101,43,Hedi Yunus,Istighfar,752,3402440,Hypermind
20201101,44,Hasyim,Sholli Ala Muhammad,802,3335750,Benang Komunika Infotama
20201101,45,Pdt. WTP Simarmata,Tiada Hari Tanpa Firman,792,3275920,Alphaomega
20201101,46,Armada,Awas Jatuh Cinta Versi 1 (p35.8),1222,3179020,Virgo Multi Cipta
20201101,47,H. Muammar. ZA,Surah Al Ikhlas (THR),777,3165580,Virgo Multi Cipta
20201101,48,Feyke Robot,Yesus Juru Mudiku (Mkios),706,3054610,Virgo Multi Cipta
20201101,49,Hedi Yunus,Suratku (US20),784,3047500,Redi Labels
20201101,50,Ustad Jefri Al Bukhori,Syukur,717,3038350,Cherrypicks
20201101,51,Dian Piesesha,Satukanlah Hati Kami (Pulsa),656,3034970,Suara Mega Mandiri
20201101,52,ILIR 7,Salah Apa Aku (DJ Version) F4,966,2984970,Kaliba
20201101,53,Anji,DIA,641,2903050,MyMusic Records
20201101,54,Woro Widowati,Aku Tenang (DFT),803,2793740,Proaktif
20201101,55,Repvblik,Sandiwara Cinta,1168,2791120,Professional Music
20201101,56,Denny Caknan,Los Dol ,1602,2782100,SWARA DIGITAL
20201101,57,Dadali,Disaat Aku Tersakiti (3.A),638,2729840,Ascada Musik
20201101,58,Derry Sulaiman,DSAS,562,2658900,Musik Kita Kreasindo
20201101,59,NSP Kreasiku, Cobalah beberapa minggu lagi,612,2575640,Melon DIY
20201101,60,Dadali,Disaat Aku Tersakiti (0.A),611,2571740,Ascada Musik
20201101,61,Sari Simorangkir,Bagi Tuhan Tak Ada Yang Mustahil,576,2554140,Hits Record
20201101,62,Wali,Doaku Untukmu Sayang [Rff](1),608,2551750,Naga Swarasakti
20201101,63,Anisa,Aisyah Istri Rasulullah Reff (P35.8),698,2546960,HP RECORDS
20201101,64,FIRLY FIRLANA,DINDA DIMANA ,1054,2520700,Pogu Mobile
20201101,65,ILIR 7,Salah Apa Aku (DFT),704,2482790,Kaliba
20201101,66,Rudy Caffeine,Aku Memilih Dia ,881,2469420,Global Media Solusi
20201101,67,Armada,Menjemput Jodoh (DT20),1655,2450260,Virgo Multi Cipta
20201101,68,H. Muamar ZA,SHALAWAT BADAR (II),563,2440050,Virgo Multi Cipta
20201101,69,Nella Kharisma,Kartonyono Medot Janji ,881,2394050,SWARA DIGITAL
20201101,70,Pdt. WTP Simarmata,Kekuatan Dari Tuhan,587,2381600,Alphaomega
20201101,71,Dadali,Cintaku Sangat Luar Biasa (DFT),602,2372100,Ascada Musik
20201101,72,KH. MOH. NIZAM AS-SHOFA,Syiir Tanpo Waton Gus Dur  (THR),542,2367610,LTN PBNU
20201101,73,Dewi Inggar ,Jogetin Aja ,866,2338740,Global Media Solusi
20201101,74,Rany Simbolon,Jangan Salah Menilai ( Reff ),527,2336170,Pelita Utm
20201101,75,Habib Syech (88),Allahumma Sholli Alla Muhammad,571,2290300,Benang Komunika Infotama
20201102,1,VG Lembah Grime,Tanah Papua,15714,78841850,Naga Swarasakti
20201102,2,Wirabest,Bersama Wirabest,8317,44661890,Naga Swarasakti
20201102,3,Gretha Sihombing (2),Kumau Iring Tuhan,8762,40425870,Naga Swarasakti
20201102,4,Dian Piesesha,Satukanlah Hati Kami,7620,32296280,Suara Mega Mandiri
20201102,5,Gretha Sihombing,Dengar Tuhan,5540,26352680,Naga Swarasakti
20201102,6,John Hartman,Sweet Annointing,4686,23884320,Raba Komunikatama
20201102,7,KreasikuArtist(30),Ijah Panggilin Tuan Muda Di Kamar,5482,23189880,Cherrypicks
20201102,8,Tagor Pangaribuan,Jangan Salah Menilai (intro1),5363,22112640,Global Musik Era Digital
20201102,9,h muammar za,s  al ikhlas,3441,13997710,Virgo Multi Cipta
20201102,10,Abdul Rasyid Baharuddin,Di Laut Cari Duit,3643,13660050,MyNSP
20201102,11,Tagor Pangaribuan,Jangan Salah Menilai (intro2),2599,10719970,Global Musik Era Digital
20201102,12,Tiara Andini,Gemintang Hatiku ,5469,8319610,Universal Music
20201102,13,Uje,Pergi Haji (V1),1618,7666590,Falcon Interactive
20201102,14,Titiek(9) Sandhora,Termenung,1648,7001940,Gemilang Sakti Digital
20201102,15,Smart Bend,Astaghfirullah,1586,6800740,Virgo Multi Cipta
20201102,16,Gretha Sihombing,Dialah Juru Selamat,1317,6501820,Naga Swarasakti
