20210401,27680,19695,2014865
20210402,19679,12070,2106460
20210403,17945,10316,2030110
20210404,23378,16205,1753005
20210405,24475,17115,2968625
20210406,20565,13238,2218780
20210407,29976,19283,2432750
20210408,29929,21712,2281645
20210409,42920,34342,1780210
20210410,40209,35164,1923155
20210411,44906,38127,2265105
20210412,47822,35312,1899130
20210413,46934,32870,2268405
20210414,42217,33179,2123970
20210415,47785,36205,2622320
20210416,48496,33079,2748045
20210417,47732,30366,2114080
20210418,40320,28071,2212405
20210419,35405,25638,2256110
20210420,29424,22169,1795330
20210421,30307,22818,2120790
20210422,36292,27602,4283240
20210423,37506,28196,3755990
20210424,34749,25566,2392940
20210425,39691,22635,3274345
20210426,33057,22832,3781380
